,,,,,,,,,
,Public Agency Cluster,,,,,,,,
,Competence,Course title,EQF,Description,Learning Outcome,Knowledge,Skills,Responsibility and autonomy,Description of professional profile of an experience future consultant operating in this realm
,Working with values,,,"It involves fostering inclusive environments, understanding the underlying factors shaping values and creating strategic partnerships that prioritise mutual respect and understanding of common values across multi-stakeholder ecosystems.","1. Create inclusive and unbiased environments where diverse values are respected and discussed without judgment to support mutual development and upskilling
2. Demonstrate a deep understanding of the underlying factors influencing values, such as the 'iceberg' model
3. Identify and analyse values within multi-stakeholder ecosystems to create strategic partnerships that integrate all stakeholders into decision-making processes, prioritising mutual respect and understanding of common values","- Understanding of diversity and inclusion principles.
 - Awareness of different cultural values and their impact on behavior and interaction.
 - Familiarity with theories and models of bias and discrimination.
 
 - Comprehensive knowledge of the 'iceberg' model and its application in understanding values.
 - In-depth understanding of cultural and psychological factors that influence values.
 - Familiarity with theories of value formation and change.
 
 - Understanding of stakeholder theory and the types of roles in multi-stakeholder ecosystems.
 - Knowledge of methods for identifying and analyzing values and perspectives in diverse stakeholder groups.
 - Familiarity with strategic partnership development and management.","Ability to facilitate open and respectful discussions.
 - Competence in recognizing and mitigating biases.
 - Proficiency in creating and implementing creative practices that are inclusive
 
 - Ability to analyze and interpret the underlying factors influencing values.
 - Competence in applying the 'iceberg' model to real-world scenarios.
 - Skills in researching and synthesizing information related to value influences (organisational intelligence).
 
 Ability to identify and articulate the values of various stakeholders.
 - Competence in analyzing the interplay of different values within a group.
 - Proficiency in creating strategies that foster collaboration and respect among stakeholders.","- Demonstrate leadership in fostering an inclusive environment.
 - Exercise judgment in handling sensitive issues related to diversity.
 - Take responsibility for continuous improvement in creating unbiased environments.
 
 - Take initiative in exploring and understanding the deep-seated factors affecting values.
 - Demonstrate intellectual independence in applying theoretical models to practice.
 - Responsibility for educating others about the complexities of value influences.
 
 - Lead initiatives to build strategic partnerships based on shared values.
 - Exercise ethical judgment in integrating stakeholder values into decision-making.
 - Responsibility for promoting mutual respect and understanding in multi-stakeholder interactions.","Within the cultural and creative industries, professionals who would possess this profile typically work in roles that require a deep understanding of values, inclusivity, and stakeholder engagement, while also fostering creativity and cultural expression. Examples include:
1.        Cultural Program Directors: Leaders who design and oversee cultural programs or initiatives, ensuring that diverse cultural values are respected and represented. They create inclusive environments where various cultural expressions can flourish and engage with multiple stakeholders to align programming with shared values.
2.        Arts and Cultural Managers: Professionals who manage arts organizations, such as museums, galleries, or performing arts centers, and who integrate inclusive practices into their operations. They ensure that the organization’s offerings reflect and respect the diverse values of artists, audiences, and communities.
3.        Creative Directors in Advertising or Media: Individuals responsible for guiding the creative vision of campaigns, ensuring that the content is inclusive and resonates with diverse audiences. They work closely with clients and stakeholders to align the creative output with shared values and cultural sensitivities.
4.        Cultural Consultants: Experts who advise creative projects or organizations on how to incorporate diverse cultural perspectives and values into their work. They often work on projects involving cross-cultural collaboration or content creation that needs to be culturally sensitive and inclusive.
5.        Socially Engaged Artists: Artists who create works that address social issues and engage with communities to reflect their values. They often work on collaborative projects that require an understanding of the cultural and social dynamics of their audiences and partners.
6.        Cultural Policy Advisors: Professionals who develop and advise on policies that shape the cultural and creative sectors, ensuring that these policies are inclusive and reflect the values of diverse communities and stakeholders.
7.        Community Arts Facilitators: Individuals who work with diverse communities to co-create artistic projects. They facilitate discussions around values, ensuring that the artistic process is inclusive and respectful of all participants' cultural backgrounds and beliefs.
8.        Festival Curators: Curators responsible for programming cultural festivals, ensuring that the event is inclusive and represents a wide array of cultural expressions. They work to create partnerships with various stakeholders to align the festival’s goals with the values of the community.
9.        Ethical Fashion Designers: Designers who create fashion with a focus on ethical production practices, sustainability, and cultural inclusivity. They engage with diverse stakeholders, including artisans, suppliers, and consumers, to ensure that their values are reflected in the final product.
10.        Cultural Heritage Consultants: Specialists who work on projects related to preserving and promoting cultural heritage, ensuring that the values of different cultural groups are respected and represented in a way that is inclusive and equitable.
These professionals operate at the intersection of creativity, culture, and values, ensuring that the work they produce or manage is inclusive, respectful, and aligned with the diverse perspectives of all stakeholders involved.

"
,Boundary spanning,The Creative Professional as a Bridge Builder in Complex Societal Challenges,5,"It involves scanning diverse domains for solutions, leveraging creative practices in transdisciplinary collaborations and creating effective working dynamics among interdisciplinary groups to foster communication and collaboration for shared solutions.","1. Scan diverse domains or disciplines for relevant solutions and leverage creative practices to bring innovative solutions within transdisciplinary collaborations
2. Create working dynamics and spaces among interdisciplinary groups by adapting creative expertise and using artistic methods to foster effective communication and collaboration for effective shared pathways to possible solutions","- Understanding of the principles and practices of transdisciplinary design and collaboration.
 - Knowledge of strategies how to navigate various domains and disciplines and their unique methodologies and terminologies.
 - Awareness of creative practices and innovation strategies and the ability to apply them in complex stakeholder situations.
 - Understanding of group dynamics and the principles of effective teamwork.
 - Knowledge of artistic methods and how they can be applied to enhance communication and collaboration.
 - Familiarity with techniques (including design and application of boundary objects) for fostering creativity and innovation in group settings.","- Ability to consult experts to conduct scans and research across diverse disciplines to find and transfer relevant inspirational examples of transformation.
 - Competence in leveraging creative thinking and practices to develop innovative solutions.
 - Proficiency in integrating knowledge and methods from multiple disciplines into cohesive strategies.
 
 - Ability to design and facilitate effective working dynamics and spaces for interdisciplinary groups.
 - Competence in adapting creative expertise and artistic methods to enhance group interactions and problem-solving.
 - Proficiency in using artistic methods to foster effective communication and collaboration among diverse group members.","- Demonstrate initiative in seeking out and integrating diverse perspectives and solutions.
 - Exercise independent judgment in applying creative practices to complex problems.
 - Take responsibility for fostering a culture of innovation within collaborative environments.
 
 - Take leadership in creating and maintaining positive working dynamics within interdisciplinary teams providing creative direction .
 - Exercise autonomy in selecting and applying appropriate artistic methods to enhance collaboration.
 - Take responsibility for achieving shared goals and pathways to solutions through effective group facilitation.","The 'creative boundary spanner' not only acts as a bridge builder (a short reference to the existing profile of a boundary spanner), but can also use their creative capacity to provide directional guidance to inform the transition process towards solutions using design methods and practises in imagining alternative future scenario’s; introducing iterative processes to eliminate possible failure factors and other interventions from the creative field to help and support the various stakeholders in exploring new avenues."
,Anticipatory innovation,,,"It involves envisioning future scenarios, applying innovation theories and using creative practices to stimulate thinking and foster innovation while embracing risk-taking and failure as integral parts of the process.","1. Envision future scenarios leading to a better society (protopias) that are not utopian (where everything is perfect) or dystopian (characterised by characterized by fear or distress)
2. Employ their creative and artistic practices and strategies effectively to stimulate creative thinking and foster innovation process
3. Apply innovation theories to overcome challenges and anticipate future trends
4. Develop proficiency in creative practices that encourage risk-taking and embrace failure as essential components of the innovation process","- Understanding of the concepts of utopias, dystopias, and protopias.
 - Knowledge of social, economic, and technological trends that can influence future scenarios.
 - Awareness of methodologies for scenario planning and visioning.
 
 - Understanding of various creative and artistic practices and their applications.
 - Knowledge of strategies to stimulate creative thinking and innovation.
 - Familiarity with the processes of creativity and innovation in different contexts.
 
 - Understanding of key innovation theories and models.
 - Knowledge of the processes and dynamics of innovation.
 - Awareness of current and emerging trends that impact various industries and sectors.
 
 - Understanding of the role of risk-taking and failure in the creative and innovation processes.
 - Knowledge of techniques and practices that encourage experimentation and risk-taking.
 - Awareness of the psychological and cultural factors that influence attitudes toward failure, especially among stakeholders.","- Ability to analyze current 
 trends and project potential future scenarios.
 - Competence in using creative and strategic thinking to envision realistic and achievable future societies.
 - Proficiency in co-creating, communicating and illustrating future scenarios effectively.
 
 - Ability to apply creative and artistic practices to enhance innovation processes.
 - Competence in facilitating workshops and activities that stimulate creative thinking.
 - Proficiency in integrating artistic methods into problem-solving and innovation strategies.
 
 - Ability to apply innovation theories to real-world challenges.
 - Competence in anticipating and analyzing future trends to inform strategic planning.
 - Proficiency in developing and implementing innovative solutions based on theoretical insights.
 
 - Ability to foster an environment that encourages risk-taking and views failure as a learning opportunity.
 - Competence in using creative practices to drive experimentation and innovation.
 - Proficiency in guiding individuals and teams through the process of learning from failure.","- Take initiative in leading visioning exercises for future scenarios.
 - Exercise ethical judgment in creating balanced and realistic future visions.
 - Responsibility for promoting optimistic yet achievable future goals within communities.
 
 - Demonstrate leadership in employing creative practices within teams and projects.
 - Take initiative in using artistic methods to drive innovation.
 - Responsibility for fostering a culture of creativity and innovation within organizations.
 
 - Take responsibility for staying informed about the latest trends and innovations.
 - Exercise independent judgment in applying innovation theories to practical challenges.
 - Responsibility for leading initiatives that leverage innovation to address future needs.
 
 - Demonstrate leadership in promoting a culture that embraces risk-taking and learning from failure.
 - Take initiative in developing and implementing creative practices that support innovation.
 - Responsibility for supporting and mentoring others in their creative and innovative endeavors.","This profile describes a forward-thinking professional adept at envisioning and shaping future scenarios through the application of innovation theories, creative practices, and strategic risk-taking. Operating primarily within the cultural and creative industries, this consultant guides organizations in anticipating and navigating future trends while fostering environments that embrace failure as a catalyst for innovation.
Types of professionals within the cultural and creative industries who would have this profile:
1.        Futurists in the Arts: Professionals who specialize in predicting and shaping the future of cultural and creative practices, integrating trends and innovation theories into their work.
2.        Innovation Consultants for Creative Industries: Experts who advise creative organizations on how to anticipate future trends and incorporate innovative practices, encouraging risk-taking and creative experimentation.
3.        Creative Directors and Strategists: Leaders who guide the creative vision of organizations or projects, ensuring that they are forward-looking and aligned with emerging trends while fostering a culture of innovation and risk-taking.
4.        Cultural Producers and Curators: Individuals who produce and curate cultural events or exhibitions with a focus on future-oriented themes, using their knowledge of trends and innovation to create thought-provoking and cutting-edge experiences.
5.        Scenario Planners and Visionaries: Specialists who work with cultural institutions to develop scenarios that anticipate future societal trends, helping them adapt and thrive in a changing world.
6.        Artistic Innovation Facilitators: Professionals who lead workshops and initiatives that integrate artistic practices into innovation processes, encouraging participants to explore new ideas and approaches.
7.        Socially Engaged Artists: Artists who focus on creating work that anticipates future social changes, using their art to influence and inspire new ways of thinking and problem-solving.
8.        Cultural Innovators: Professionals who drive innovation within cultural organizations, applying creative and strategic thinking to develop new models and approaches that are responsive to future trends.
These professionals play crucial roles in shaping the future of the cultural and creative industries, leveraging their deep understanding of trends, innovation, and creativity to guide organizations and communities toward a sustainable and innovative future.
"
,Narrative design,,,"It involves crafting compelling stories that evoke mental imagery, tailoring communication to resonate with the audience and leveraging artistic and creative contributions to enhance storytelling.","1. Craft narratives that evoke mental imagery and use a range of storytelling strategies while also demonstrating a solid understanding of visual literacy principles
2. Demonstrate proficiency in understanding the values, emotions and needs of the target audience to tailor their communication effectively
3. Articulate messages using language that resonates with the audience's preferences and effectively addresses the problem at hand
4. Leverage their artistic, innovative and creative contributions to enhance narrative design and storytelling","- Understanding of narrative techniques and storytelling strategies.
 - Knowledge of visual literacy principles and how they influence perception and interpretation.
 - Familiarity with different media and tools for crafting and presenting narratives.
 
 - Understanding of audience analysis and profiling techniques.
 - Knowledge of psychological and sociocultural factors that influence audience values, emotions and behaviour.
 - Awareness of methods for assessing and addressing audience needs.
 
 - Understanding of effective communication principles and techniques.
 - Knowledge of linguistic and rhetorical strategies for different contexts.
 - Familiarity with audience preferences and communication styles.
 
 - Understanding of the principles of narrative design and storytelling.
 - Knowledge of artistic and creative techniques that enhance narrative elements.
 - Awareness of innovative practices and their application in storytelling.","- Ability to create narratives that evoke vivid mental imagery.
 - Competence in applying various storytelling strategies to engage audiences.
 - Proficiency in integrating visual literacy principles into narrative design.
 
 - Ability to analyze and interpret the values, emotions, and needs of different stakeholders.
 - Competence in tailoring communication strategies to affect target group behaviour.
 - Proficiency in creating messages that effectively address the concerns and interests of an audience.
 
 - Ability to craft messages using language that resonates with the audience.
 - Competence in addressing specific problems through targeted communication.
 - Proficiency in adapting language and style to suit different audiences and contexts.
 
 - Ability to integrate artistic and creative elements into narrative design.
 - Competence in using innovative approaches to enhance storytelling.
 - Proficiency in combining multiple creative contributions to create compelling narratives.","- Take initiative in exploring and utilizing diverse storytelling methods.
 - Exercise judgment in selecting and applying visual literacy principles to enhance narratives.
 - Responsibility for ensuring narratives are visually engaging and effectively communicated.
 
 - Take responsibility for conducting thorough audience research.
 - Exercise empathy and insight in understanding audience perspectives.
 - Responsibility for ensuring communications are audience-centric and impactful.
 
 - Demonstrate initiative in researching and understanding audience preferences.
 - Exercise creativity and precision in language use to achieve communication goals.
 - Responsibility for ensuring messages are clear, persuasive, and relevant.
 
 - Take initiative in exploring and applying creative and artistic techniques.
 - Exercise autonomy in developing unique and engaging narrative designs.
 - Responsibility for fostering a culture of creativity and innovation in narrative projects.","This profile describes a seasoned professional who excels in crafting compelling narratives that evoke strong mental imagery and resonate deeply with diverse audiences. Operating within the cultural and creative industries, this consultant leverages their deep understanding of storytelling strategies, visual literacy, and audience psychology to design narratives that are not only engaging but also impactful. They integrate artistic and creative contributions to enhance storytelling, ensuring that messages are both innovative and culturally relevant.

types of professionals within the cultural and creative industries with this profile:
1.        Narrative designers: Professionals who specialize in creating and shaping stories across various media, ensuring that the narrative is compelling, visually engaging, and resonates with the intended audience.
2.        Content strategists: Experts who design and implement narrative strategies for brands, cultural institutions, or creative projects, focusing on crafting messages that connect with audiences on a deeper level.
3.        Creative directors in film and media: Individuals who lead the creative vision of film, television, or multimedia projects, ensuring that narratives are visually compelling and aligned with the audience's values and expectations.
4.        Brand storytellers: Professionals who develop and communicate the narrative of a brand or organization, using storytelling to build emotional connections with customers and stakeholders.
5.        Digital media producers: Creators who design and produce digital content, focusing on narrative coherence, visual literacy, and audience engagement across platforms.
6.        Copywriters with a focus on storytelling: Writers who craft compelling copy for marketing, advertising, or content creation, integrating narrative techniques and visual literacy to enhance messaging.
7.        Game narrative designers: Designers who create the storylines and characters for video games, ensuring that the narrative is immersive and emotionally engaging for players.
8.        Exhibition curators: Curators responsible for designing the narrative flow of exhibitions in museums or galleries, using visual and textual storytelling to guide visitors through the experience.
9.        Interactive storytellers: Professionals who design and implement narrative-driven interactive experiences, such as VR, AR, or web-based projects, where audience engagement is key.
10.        Communications specialists: Experts who focus on crafting and delivering messages for organizations, ensuring that communication strategies are narrative-driven and tailored to audience needs.

These professionals play pivotal roles in shaping the stories that define cultural and creative projects, ensuring that narratives are not only compelling and visually engaging but also resonate deeply with their intended audiences.

"
,Managing transformations,,,"It involves identifying and prioritising areas for change, engaging diverse stakeholders in co-creation processes, applying specialised knowledge to lead transformative initiatives, critically analysing economic theories and effectively communicating the new context and strategies for transformation.","1. Identify and prioritise elements requiring change to achieve new objectives aligned with the needs of the evolving scenario
2. Demonstrate an understanding of appropriate formats for engaging a diverse range of citizens in co-creation processes, as well as distinguish different types of stakeholders and their roles in transformation processes
3. Apply specialised knowledge and technical skills to collaboratively lead transformative initiatives, employing innovative solutions to address complex challenges
4. Critically analyse various economic theories and their influence on current developments, using this knowledge to inform transformational strategies
5. Effectively communicate the new context and lines of work required for undertaking the transformation, ensuring clarity and alignment among stakeholders","- Understanding of change management principles and processes.
 - Knowledge of strategic planning and analysis techniques.
 - Awareness of evolving scenarios and their impact on organizational objectives.
 
 - Understanding of co-creation processes and citizen engagement strategies.
 - Knowledge of stakeholder analysis and management techniques.
 - Awareness of different stakeholder roles and their influence on transformation processes.
 
 - Understanding of specialized knowledge areas relevant to transformation initiatives.
 - Knowledge of technical skills required for leading change and innovation.
 - Awareness of innovative solutions and best practices in addressing complex challenges.
 
 - Understanding of various economic theories and their implications.
 - Knowledge of current economic developments and trends.
 - Awareness of how economic theories influence transformational strategies.
 
 - Understanding of effective communication principles and techniques.
 - Knowledge of organizational change communication strategies.
 - Awareness of stakeholder communication needs and preferences.","- Ability to conduct comprehensive assessments to identify elements requiring change.
 - Competence in prioritizing changes based on their impact and feasibility.
 - Proficiency in aligning change initiatives with new objectives and evolving needs.
 
 - Ability to design and implement formats for engaging diverse citizens in co-creation.
 - Competence in distinguishing and managing different types of stakeholders.
 - Proficiency in facilitating collaborative processes that include various stakeholders.
 
 - Ability to apply specialized knowledge to real-world transformation initiatives.
 - Competence in using technical skills to drive collaborative efforts.
 - Proficiency in developing and implementing innovative solutions to overcome challenges.
 
 - Ability to critically analyze economic theories and their relevance to current issues.
 - Competence in applying economic knowledge to inform strategic decisions.
 - Proficiency in integrating economic insights into transformational planning.
 
 - Ability to clearly and effectively communicate new contexts and transformation plans.
 - Competence in ensuring stakeholder alignment and understanding.
 - Proficiency in using various communication tools and formats to engage stakeholders.","- Take initiative in identifying and prioritizing change elements.
 - Exercise judgment in aligning changes with various organizational goals and evolving scenarios.
 - Responsibility for leading change efforts and ensuring they meet new objectives.
 
 - Take responsibility for ensuring inclusive and effective engagement in co-creation processes.
 - Exercise ethical judgment in managing stakeholder relationships.
 - Responsibility for fostering collaboration and ensuring all voices are heard in transformation efforts.
 
 - Take leadership in applying knowledge and skills to transformative initiatives.
 - Exercise autonomy in employing innovative approaches to complex problems.
 - Responsibility for ensuring collaborative success in transformation projects.
 
 - Take initiative in staying informed about economic theories and trends.
 - Exercise critical thinking in applying economic insights to transformation strategies.
 - Responsibility for ensuring economic considerations are integrated into planning and decision-making.
 
 - Take responsibility for crafting and delivering clear communication about transformations.
 - Exercise judgment in selecting appropriate communication methods for different stakeholders.
 - Responsibility for ensuring all stakeholders are aligned and informed about transformation efforts.","
This profile describes a highly skilled professional who excels in managing transformative processes within the cultural and creative industries. This consultant is adept at identifying and prioritizing areas for change, engaging a diverse range of stakeholders through co-creation processes, and applying specialized knowledge to lead innovative transformation initiatives. They are also proficient in critically analyzing economic theories and effectively communicating new strategies and contexts for transformation, ensuring alignment and clarity among all stakeholders.

Types of professionals within the cultural and creative industries with this profile:
1.	Transformation consultants: Professionals who specialize in managing large-scale changes within cultural institutions or creative organizations, ensuring that transformation efforts are strategically aligned with long-term goals.
2.	Strategic planners: Experts who focus on developing and implementing strategic plans for cultural and creative projects, aligning transformation efforts with evolving scenarios and stakeholder needs.
3.	Community engagement coordinators: Individuals who design and facilitate co-creation processes within communities, ensuring that diverse stakeholder groups are engaged in transformation initiatives.
4.	Organizational change managers: Professionals responsible for overseeing change management processes within creative organizations, ensuring that changes are effectively communicated and aligned with strategic objectives.
5.	Innovation leaders: Leaders who drive innovation within cultural and creative industries, applying specialized knowledge and technical skills to lead transformative initiatives.
6.	Stakeholder engagement specialists: Experts who manage relationships with stakeholders during transformation processes, ensuring that communication is clear and that all parties are aligned and supportive of the changes.
7.	Creative directors in transformation projects: Creative professionals who lead transformative projects, integrating innovative solutions and creative approaches to overcome complex challenges.
8.	Communication strategists: Professionals who craft and implement communication strategies for transformation initiatives, ensuring that all stakeholders are well-informed and aligned with the new direction.
9.	Project Coordinators: These professionals assist in managing specific aspects of transformation projects, ensuring that tasks are completed on time and within scope, and supporting higher-level managers.
10.	Creative Facilitators: Individuals who help guide brainstorming sessions, workshops, and creative meetings, ensuring that participants can contribute effectively to transformation processes.


These professionals are crucial in guiding cultural and creative organizations through complex transformation processes, ensuring that changes are strategically aligned, inclusive, and effectively communicated.
"
,,,,,,,,,
,Data Driven Agency Cluster,,,,,,,,
,Competence,Course title,EQF,Description,Learning Outcome,Knowledge,Skills,Responsibility and autonomy,Description of professional profile of an experience future consultant operating in this realm
,Data literacy & Digital literacy,,,"It involves the ability to critically evaluate and interpret digital data, navigate digital technologies effectively and apply research strategies to find reliable information while also recognising and mitigating online risks.","1. Collect, manage and interpret data to inform decision-making and problem-solving within their creative practices.
2. Work with digital data by navigating digital technologies, communicating effectively online and critically evaluating digital information within their creative practices.
3. Recognise and evaluate the credibility and trustworthiness of digital sources by identifying bias, misinformation, or propaganda in digital content.
4. Use search strategies and tools to find relevant and reliable digital information. 
----

5. Apply concepts of online safety, recognising common online threats and vulnerabilities and evaluating the effectiveness of different security measures and practices in mitigating online risks. ","1. Aware of the methods and tools necessary for collecting, managing, and interpreting data to improve decision-making and problem-solving within creative practices.
2. Knows about navigating digital technologies effectively and utilizing them for data management and communication within a creative context.
---

3. Understands that biases, misinformation, and propaganda can pervade digital content and possesses the capability to assess the trustworthiness of digital sources accurately.
4. Knows about various research strategies and digital tools that aid in uncovering relevant and reliable information for creative and professional endeavors.
---

5. Understands that the effectiveness of different security measures and practices can vary in mitigating online risks and knows how to implement these appropriately in various situations.","
1. Knows how to collect, manage, and interpret data to support decision-making and enhance problem-solving within their creative endeavors. 
2. Able to utilize data effectively to influence artistic strategies and outcomes.
3. Knows how to work with digital data by adeptly navigating digital technologies. 
4. Able to communicate effectively online and critically evaluate digital information, applying these skills within their creative practices.
---

5. Knows how to recognize and assess the credibility and trustworthiness of digital sources by identifying biases, misinformation, or propaganda within digital content. 
6. Able to critically evaluate digital sources to ensure the integrity and reliability of the information utilized.
7. Knows how to employ research strategies and tools to locate relevant and reliable digital information.
8.  Able to effectively utilize various digital resources and tools to enhance research accuracy and efficiency.
---

9. Knows how to apply concepts of online safety, recognizing common online threats and vulnerabilities. 
10. Able to evaluate and implement effective security measures and practices to mitigate online risks, ensuring a safer digital working environment.","Supervise data collection processes so that they meet ethical standards and focus on obtaining information relevant to creative outcomes. 

Supervises the use of data to make informed decisions independently, applying creative problem solving skills to address complex challenges. 

Supervises the development of competence in various digital technologies in order to integrate them into the luxury of work to enhance productivity and creativity. 

Supervises the development of a methodical approach to assessing the reliability and relevance of digital information.

Promotes the implementation and regular updating of security measures to protect data and creative content, ensuring ","An experienced digital consultant enhances creative practices through expert data management, digital technology navigation, and online safety. They collect and interpret data for strategic decision-making, critically evaluate digital information for credibility, and employ research strategies to find reliable information. Proficient in mitigating online risks, they ensure secure digital environments. With strong analytical, problem-solving, and communication skills, they integrate digital tools to boost productivity and creativity while maintaining ethical standards."
,Understanding socio-technical systems,,,"It involves understanding and navigating the interactions between social and technical components within work environments, designing user feedback processes tailored to assess usability and recognising the interactions of stakeholders and systems within society.","1. Gain understanding of socio-technical systems, including their roles, influences, and implications in their work to analise and navigate the interactions between social and technical components within their work environment.
---

2. Design a user feedback process and tools tailored to assess the usability and effectiveness of the user interface within a socio-technical system.
---

3. Gain an understanding of how various stakeholders and systems interact within society, both at macro and micro levels","1. Understands that socio-technical systems are composed of interconnected social and technical elements, and recognizes how these elements interact and influence the work environment.
---

2. Knows about designing and implementing a user feedback process, including choosing the appropriate tools to evaluate the usability and effectiveness of user interfaces within socio-technical systems.
---

3. Aware of the interactions between various stakeholders and systems within society, and appreciates how these relationships function at both macro and micro levels.","
1. Knows how to gain understanding of socio-technical systems, comprehending their roles, influences, and implications within their work environment. 
2. Able to analyze and navigate the interactions between social and technical components to enhance effectiveness in their work.
---

3. Knows how to design a user feedback process and tools customized for assessing the usability and effectiveness of the user interface within a socio-technical system. 
4. Able to tailor feedback mechanisms to capture nuanced insights and improve interface design.
---

5. Knows how to gain an understanding of how various stakeholders and systems interact within society, both at macro and micro levels. 
6. Able to analyze and interpret these interactions to inform decision-making and enhance organizational effectiveness.","Facilitates, through supervision, the understanding and management of the dynamics between social and technical elements within different environments.


Supervises the design and implementation of robust feedback mechanisms that effectively gather user information, enabling continuous improvement in usability and satisfaction. ","A socio-technical systems consultant excels in analyzing interactions between social and technical elements in work environments. They design tailored user feedback processes to assess usability and understand stakeholder dynamics. With an advanced degree and experience in socio-technical analysis, they enhance workplace effectiveness and inform decision-making. They oversee feedback mechanism implementation for continuous improvement, possessing strong analytical, communication, and problem-solving skills, and a commitment to organizational effectiveness."
,Digital self-determination,,,"It involves selecting appropriate training data, understanding legal rights regarding data protection, and taking action to manage personal data effectively in compliance with regulations such as GDPR and the European Declaration on Digital Rights.","1. Choose appropriate training data for a machine learning or AI model, considering data diversity and privacy.
---

2. Gain knowledge about legal rights concerning data protection, both within and beyond the EU, particularly under the GDPR, by differentiating between personal and non-personal data, implications of non-GDPR regions and the identification of pinpoint areas of interest or potential risk.
---

3. Take action in the digital realm to manage and control their personal data effectively.
---

4. Gain understanding and appropriate application of their legal rights under the European Declaration on Digital Rights, including managing data capture risks of their work and exercising their rights such as subject-access requests and the right to be forgotten","1. Knows about selecting appropriate training data for machine learning models, considering factors like data diversity and privacy.
----

2. Understands that legal rights concerning data protection differ between personal and non-personal data and recognizes the implications of operating within and outside GDPR-regulated regions.
----

3. Aware of proactive measures necessary for managing and controlling personal data effectively in digital spaces.
---

4. Understands that under the European Declaration on Digital Rights, one has specific legal rights, including managing data capture risks and exercising rights such as making subject-access requests and invoking the right to be forgotten.","1. Knows how to choose appropriate training data for a machine learning or AI model, considering data diversity and privacy implications. 
2. Able to select datasets that ensure model accuracy while respecting privacy regulations.
---

3. Knows how to gain knowledge about legal rights concerning data protection, both within and beyond the EU, particularly under the GDPR. 
4. Able to differentiate between personal and non-personal data, understand the implications of non-GDPR regions, and identify pinpoint areas of interest or potential risk related to data protection.
----

5. Knows how to take action in the digital realm to manage and control personal data effectively. 
6. Able to implement strategies and utilize tools to safeguard personal data privacy and security online.
---

7. Knows how to gain understanding and appropriately apply their legal rights under the European Declaration on Digital Rights. 
8. Able to manage data capture risks in their work and exercise rights such as subject-access requests and the right to be forgotten within the framework of digital rights legislation.","Supervise the selection of data sets so that they are appropriate, i.e. that they not only meet the technical requirements of the projects, but also comply with ethical standards and legal guidelines.

Supervises data management activities in a secure and efficient manner, ensuring that all data practices respect privacy and are transparent.

Promotes constant updating on changes in legislation, such as GDPR, so that these updates can be applied to data management practices in a timely and effective manner.
","A digital self-determination consultant ensures proper training data selection, understands legal data protection rights, and manages personal data per GDPR and European Declaration on Digital Rights. They supervise data practices to meet technical and legal standards, ensuring privacy and transparency. With expertise in data protection laws, they promote compliance and timely legislative updates. This role combines strong analytical, communication, and problem-solving skills to safeguard data privacy and security.




"
,Creatively using digital technology,,,"It involves recognising its advantages, selecting suitable tools and employing innovative methods to enhance creative work, including designing presentations in virtual reality and using AI platforms effectively for image generation.","1. Recognise and identify the advantages of digital technology within creative practices and select suitable digital tools to optimise their creative work.
---

2. Use AI platforms to define and adapt prompts for image generation and presentations in virtual reality.
----

3. Design and produce presentations using virtual reality (VR) technology, tools and platforms enhancing engagement and understanding among the audience.
----

4. Recognise advantages and limitations of generative AI systems by employing prompt engineering methods to effectively utilise AI systems and obtain valuable outcomes","1. Understands that digital technology enhances creative work and knows about selecting the appropriate digital tools to optimize creative outputs.
---

2. Aware of how to use AI platforms to define and adapt prompts for generating images and creating presentations in virtual reality, tailoring content to specific needs.
---

3. Knows about designing and producing engaging presentations using virtual reality technology, utilizing VR tools and platforms to enhance audience understanding and engagement.
---

4. Aware of the advantages and limitations of generative AI systems and understands how to use prompt engineering to effectively leverage AI for creative and practical outcomes.","
1. Knows how to recognize and identify the advantages of digital technology within creative practices and select suitable digital tools to optimize their creative work. 
2. Able to choose the most effective digital resources to enhance artistic productivity and innovation.
---

3. Knows how to use AI platforms to define and adapt prompts for image generation and presentations in virtual reality. 
4. Able to manipulate AI tools to create specific and desired visual outcomes for enhanced creative presentations.
---

5. Knows how to design and produce presentations using virtual reality (VR) technology, tools, and platforms.
6. Able to enhance engagement and understanding among the audience by effectively leveraging VR capabilities.
---

7. Knows how to recognize the advantages and limitations of generative AI systems by employing prompt engineering methods. 8. Able to effectively utilize AI systems to obtain valuable outcomes, tailoring AI responses to specific creative and practical needs.","Takes the lead in integrating new tools into creative and operational processes, managing the transition and adaptation to new technologies within the team or organization. This also involves anticipating potential challenges and preparing appropriate solutions.

Supervise the use and promote the level of effectiveness of the use of innovative technologies in creative projects, ensuring that team members are competent and comfortable with the new tools. This includes mentoring and guiding others to improve their skills and adapt to technological changes.

Ensures that all practices, particularly those involving data management and the use of technology, comply with relevant laws and ethical standards, such as data protection regulations and intellectual property rights.

","A digital creativity consultant leverages digital technology to enhance creative work, selecting suitable tools, using AI for image generation, and designing engaging VR presentations. They integrate new technologies into creative processes, manage transitions, and mentor teams. With expertise in digital tools, AI, and VR, they ensure compliance with data protection and intellectual property laws, driving innovation and productivity. This role combines creativity, technical proficiency, and strong leadership skills."
