Cluster,Competence,Description,Learning Outcome
Value Creating Agency,Working with others,"It involves effective collaboration in co-creation and learning environments, recognising and leveraging internal and external expertise and valuing diverse viewpoints to promote creativity, inclusivity and innovation.","1. Effectively collaborate with others in co-creation activities and challenge-based learning environments

"
Value Creating Agency,Working with others,"It involves effective collaboration in co-creation and learning environments, recognising and leveraging internal and external expertise and valuing diverse viewpoints to promote creativity, inclusivity and innovation.",2. Recognise and use both internal and external expertise in collaborative endeavours by assessing the complementary skills within the organisation by identifying any gaps that may require external professional input
Value Creating Agency,Working with others,"It involves effective collaboration in co-creation and learning environments, recognising and leveraging internal and external expertise and valuing diverse viewpoints to promote creativity, inclusivity and innovation.","3. Identify, value and leverage diverse viewpoints in collaborative settings to promote creativity and innovation, foster inclusivity and improve decision-making processes"
Regenerative Agency,Self-awareness & empathy ,"It involves understanding one's place in a more-than-human world and the capacity to make informed decisions that are aligned with the need for economic, cultural, and ecological regeneration","1. Learner discovers ecological complexity, recognizes the interdependence of different living beings, and becomes aware of her/his own agency"
Regenerative Agency,Self-awareness & empathy ,"It involves understanding one's place in a more-than-human world and the capacity to make informed decisions that are aligned with the need for economic, cultural, and ecological regeneration","2. Learner shows understanding between the terms human, non-human, and more-than-human"
Regenerative Agency,Self-awareness & empathy ,"It involves understanding one's place in a more-than-human world and the capacity to make informed decisions that are aligned with the need for economic, cultural, and ecological regeneration","3. Learner is aware of human, techno- and eco-centric design approaches"
Regenerative Agency,Self-awareness & empathy ,"It involves understanding one's place in a more-than-human world and the capacity to make informed decisions that are aligned with the need for economic, cultural, and ecological regeneration",4. Learner shows understanding of diversity as possible source of strength
Regenerative Agency,Self-awareness & empathy ,"It involves understanding one's place in a more-than-human world and the capacity to make informed decisions that are aligned with the need for economic, cultural, and ecological regeneration",5. Learner can identify choices in relation to ethos of care and solidarity
Regenerative Agency,Ethical and sustainable thinking ,It involves understanding that concepts of ethics and justice have an ecological dimension that includes thinking about multispecies relations and the complexity of their (social) interactions. Understanding how regenerative and sustainable actions have the power to affect future generations (human and more-than-human) and being familiar with frameworks that support regenerative/ecological thinking and acting.,1. Learner shows awareness that concepts of ethics / justice have an ecological dimension (example: non-regenerative resource-uses create ecological distribution conflicts)
Regenerative Agency,Ethical and sustainable thinking ,It involves understanding that concepts of ethics and justice have an ecological dimension that includes thinking about multispecies relations and the complexity of their (social) interactions. Understanding how regenerative and sustainable actions have the power to affect future generations (human and more-than-human) and being familiar with frameworks that support regenerative/ecological thinking and acting.,"2. Learner shows understanding of the conditions of ""inhabitability"" (Morizot) and ""viability"" (Beer) of her/his life situation"
Regenerative Agency,Ethical and sustainable thinking ,It involves understanding that concepts of ethics and justice have an ecological dimension that includes thinking about multispecies relations and the complexity of their (social) interactions. Understanding how regenerative and sustainable actions have the power to affect future generations (human and more-than-human) and being familiar with frameworks that support regenerative/ecological thinking and acting.,3. Learner shows awareness of contingency (historical dimension) of own life situation (example: inherited conditions / structures as well as needs of future generations)
Regenerative Agency,Ethical and sustainable thinking ,It involves understanding that concepts of ethics and justice have an ecological dimension that includes thinking about multispecies relations and the complexity of their (social) interactions. Understanding how regenerative and sustainable actions have the power to affect future generations (human and more-than-human) and being familiar with frameworks that support regenerative/ecological thinking and acting.,4. Learner acknowledges the more-than-human dimensions of dignity (beyond a language of animal / natural rights)
Regenerative Agency,Ethical and sustainable thinking ,It involves understanding that concepts of ethics and justice have an ecological dimension that includes thinking about multispecies relations and the complexity of their (social) interactions. Understanding how regenerative and sustainable actions have the power to affect future generations (human and more-than-human) and being familiar with frameworks that support regenerative/ecological thinking and acting.,"5. Learner understands key learning frameworks for regenerative sustainability (example: GreenComp, four-pillar model of sustainability)"
Regenerative Agency,Problem framing,"It involves the ability to reframe relationships between self and world in regenerative terms and includes awareness of a variety of relevant approaches and methods, and terminologies","1. Learner is familiar with more-than-human frameworks (example: ecologies of technology, regenerative sustainability)

"
Regenerative Agency,Problem framing,"It involves the ability to reframe relationships between self and world in regenerative terms and includes awareness of a variety of relevant approaches and methods, and terminologies","2. Learner is familiar with ""design-for-regeneration"" approaches and multiple concepts of value"
Regenerative Agency,Problem framing,"It involves the ability to reframe relationships between self and world in regenerative terms and includes awareness of a variety of relevant approaches and methods, and terminologies","3. Learner is familiar with approaches to assess short / mid-term / long-term (cultural, economic, environmental, social) impacts"
Regenerative Agency,Exploratory thinking,"It involves having an exploratory interest in creative, structural, social and technical ways of acting democratically and holistic. It involves awareness of precautionary principle (act now to avoid future negative impact), a positive attitude toward fact-based analyses (interest in how evidence / factuality / trust is determined), awareness that fairness / inclusion requires knowledge of all stakes / perspectives involved / affected; awareness of differences between potential (thinkable) / possible (doable) / likely (realistic) futures","1. Learner shows awareness of precautionary principle




"
Regenerative Agency,Exploratory thinking,"It involves having an exploratory interest in creative, structural, social and technical ways of acting democratically and holistic. It involves awareness of precautionary principle (act now to avoid future negative impact), a positive attitude toward fact-based analyses (interest in how evidence / factuality / trust is determined), awareness that fairness / inclusion requires knowledge of all stakes / perspectives involved / affected; awareness of differences between potential (thinkable) / possible (doable) / likely (realistic) futures",2. Learner shows positive attitude toward fact-based analyses
Regenerative Agency,Exploratory thinking,"It involves having an exploratory interest in creative, structural, social and technical ways of acting democratically and holistic. It involves awareness of precautionary principle (act now to avoid future negative impact), a positive attitude toward fact-based analyses (interest in how evidence / factuality / trust is determined), awareness that fairness / inclusion requires knowledge of all stakes / perspectives involved / affected; awareness of differences between potential (thinkable) / possible (doable) / likely (realistic) futures",3. Learner is aware that fairness and inclusion requires knowledge of all affective perspectives involved
Regenerative Agency,Exploratory thinking,"It involves having an exploratory interest in creative, structural, social and technical ways of acting democratically and holistic. It involves awareness of precautionary principle (act now to avoid future negative impact), a positive attitude toward fact-based analyses (interest in how evidence / factuality / trust is determined), awareness that fairness / inclusion requires knowledge of all stakes / perspectives involved / affected; awareness of differences between potential (thinkable) / possible (doable) / likely (realistic) futures","4. Learner is aware of differences between thinkable, doable and realistic futures"
Regenerative Agency,Exploratory thinking,"It involves having an exploratory interest in creative, structural, social and technical ways of acting democratically and holistic. It involves awareness of precautionary principle (act now to avoid future negative impact), a positive attitude toward fact-based analyses (interest in how evidence / factuality / trust is determined), awareness that fairness / inclusion requires knowledge of all stakes / perspectives involved / affected; awareness of differences between potential (thinkable) / possible (doable) / likely (realistic) futures",5. Learner is able to identify articulate different futures based on different sets of value
Regenerative Agency,Actionable futures,"engage: it involves designing for impact in a competence ecosystem (sites of learning and sites of engagement)
it implies the knowledge of how diversity can become a strength, knowledge that human action may have unpredictable / uncertain consequences, and awareness of relevant laws / policies affect spaces of engagement (and make possible specific actions)

",1. Learner can design inclusive and transparent processes
Regenerative Agency,Actionable futures,"engage: it involves designing for impact in a competence ecosystem (sites of learning and sites of engagement)
it implies the knowledge of how diversity can become a strength, knowledge that human action may have unpredictable / uncertain consequences, and awareness of relevant laws / policies affect spaces of engagement (and make possible specific actions)

",2. Learner has the ability to act promptly in the face of uncertainty
Regenerative Agency,Actionable futures,"engage: it involves designing for impact in a competence ecosystem (sites of learning and sites of engagement)
it implies the knowledge of how diversity can become a strength, knowledge that human action may have unpredictable / uncertain consequences, and awareness of relevant laws / policies affect spaces of engagement (and make possible specific actions)

",3. Learner can synthesize relevant knowledges to inform concrete actions
Regenerative Agency,Actionable futures,"engage: it involves designing for impact in a competence ecosystem (sites of learning and sites of engagement)
it implies the knowledge of how diversity can become a strength, knowledge that human action may have unpredictable / uncertain consequences, and awareness of relevant laws / policies affect spaces of engagement (and make possible specific actions)

",4. Learner shows understanding of how human actions may have unpredictable consequences
Regenerative Agency,Actionable futures,"engage: it involves designing for impact in a competence ecosystem (sites of learning and sites of engagement)
it implies the knowledge of how diversity can become a strength, knowledge that human action may have unpredictable / uncertain consequences, and awareness of relevant laws / policies affect spaces of engagement (and make possible specific actions)

",5. Learner is aware of relevant laws and policies that affect spaces of engagement
Regenerative Agency,Actionable futures,"engage: it involves designing for impact in a competence ecosystem (sites of learning and sites of engagement)
it implies the knowledge of how diversity can become a strength, knowledge that human action may have unpredictable / uncertain consequences, and awareness of relevant laws / policies affect spaces of engagement (and make possible specific actions)

","6. Learner is familiar with organizational processes to turn ""matters of concern"" into ""communities of care / concern"""
